date,sku_id,warehouse_id,supplier_id,region,units_sold,inventory_level,supplier_lead_time_days,reorder_point,order_quantity,unit_cost,unit_price,promotion_flag,stockout_flag,demand_forecast,year,month,day,day_of_week,is_weekend,monthly_avg_sales,sales_to_inventory_ratio,inventory_vs_reorder_gap,depletion_rate,days_until_reorder,stockout_risk,demand_std,safety_stock,lead_time_demand,calculated_reorder_point,reorder_point_diff
2024-01-01,SKU_1,WH_1,SUP_8,West,10.0,592.0,14.0,379,0.0,13.95,20.48,0,0,8.52,2024,1,1,0,0,22.696774193548386,0.01689189189186336,213.0,0.7565591397849462,281.5378051992181,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-02,SKU_1,WH_1,SUP_8,West,17.0,575.0,14.0,379,0.0,13.95,20.48,0,0,20.15,2024,1,2,1,0,22.696774193548386,0.02956521739125293,196.0,0.7565591397849462,259.06765173261385,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-03,SKU_1,WH_1,SUP_8,North,35.0,540.0,14.0,379,0.0,13.95,20.48,1,0,39.62,2024,1,3,2,0,22.696774193548386,0.06481481481469478,161.0,0.7565591397849462,212.80557106607566,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-04,SKU_1,WH_1,SUP_8,South,24.0,516.0,14.0,379,0.0,13.95,20.48,0,0,19.43,2024,1,4,3,0,22.696774193548386,0.04651162790688661,137.0,0.7565591397849462,181.08300146616378,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-05,SKU_1,WH_1,SUP_8,West,21.0,495.0,14.0,379,0.0,13.95,20.48,0,0,18.7,2024,1,5,4,0,22.696774193548386,0.04242424242415672,116.0,0.7565591397849462,153.32575306624085,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-06,SKU_1,WH_1,SUP_8,East,18.0,477.0,14.0,379,0.0,13.95,20.48,0,0,18.33,2024,1,6,5,1,22.696774193548386,0.03773584905652466,98.0,0.7565591397849462,129.53382586630693,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-07,SKU_1,WH_1,SUP_8,North,19.0,458.0,14.0,379,0.0,13.95,20.48,0,0,18.91,2024,1,7,6,1,22.696774193548386,0.041484716157114666,79.0,0.7565591397849462,104.42012493304334,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-08,SKU_1,WH_1,SUP_8,North,23.0,435.0,14.0,379,0.0,13.95,20.48,1,0,25.84,2024,1,8,0,0,22.696774193548386,0.052873563218269255,56.0,0.7565591397849462,74.0193290664611,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-09,SKU_1,WH_1,SUP_8,West,25.0,410.0,14.0,379,0.0,13.95,20.48,0,0,21.7,2024,1,9,1,0,22.696774193548386,0.06097560975594884,31.0,0.7565591397849462,40.97498573321954,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-10,SKU_1,WH_1,SUP_8,South,25.0,385.0,14.0,379,0.0,13.95,20.48,0,0,20.15,2024,1,10,2,0,22.696774193548386,0.06493506493489627,6.0,0.7565591397849462,7.930642399977975,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-11,SKU_1,WH_1,SUP_8,North,23.0,362.0,14.0,379,0.0,13.95,20.48,0,0,18.82,2024,1,11,3,0,22.696774193548386,0.06353591160203444,-17.0,0.7565591397849462,-22.470153466604263,1,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-12,SKU_1,WH_1,SUP_8,West,29.0,803.0,14.0,379,470.0,13.95,20.48,1,0,31.65,2024,1,12,4,0,22.696774193548386,0.03611457036110073,424.0,0.7565591397849462,560.432062931777,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-13,SKU_1,WH_1,SUP_8,North,25.0,778.0,14.0,379,0.0,13.95,20.48,0,0,25.08,2024,1,13,5,1,22.696774193548386,0.032133676092503685,399.0,0.7565591397849462,527.3877195985353,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-14,SKU_1,WH_1,SUP_8,South,26.0,752.0,14.0,379,0.0,13.95,20.48,0,0,24.39,2024,1,14,6,1,22.696774193548386,0.03457446808506041,373.0,0.7565591397849462,493.0216025319641,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-15,SKU_1,WH_1,SUP_8,North,19.0,733.0,14.0,379,0.0,13.95,20.48,1,0,20.15,2024,1,15,0,0,22.696774193548386,0.025920873124111978,354.0,0.7565591397849462,467.90790159870056,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-16,SKU_1,WH_1,SUP_8,West,19.0,714.0,14.0,379,0.0,13.95,20.48,0,0,20.84,2024,1,16,1,0,22.696774193548386,0.02661064425766581,335.0,0.7565591397849462,442.79420066543696,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-17,SKU_1,WH_1,SUP_8,East,26.0,688.0,14.0,379,0.0,13.95,20.48,0,0,20.15,2024,1,17,2,0,22.696774193548386,0.037790697674363674,309.0,0.7565591397849462,408.4280835988657,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-18,SKU_1,WH_1,SUP_8,North,22.0,666.0,14.0,379,0.0,13.95,20.48,0,0,20.13,2024,1,18,3,0,22.696774193548386,0.03303303303298343,287.0,0.7565591397849462,379.34906146561315,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-19,SKU_1,WH_1,SUP_8,North,28.0,638.0,14.0,379,0.0,13.95,20.48,1,0,31.49,2024,1,19,4,0,22.696774193548386,0.04388714733535441,259.0,0.7565591397849462,342.3393969323826,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-20,SKU_1,WH_1,SUP_8,East,17.0,621.0,14.0,379,0.0,13.95,20.48,0,0,20.15,2024,1,20,5,1,22.696774193548386,0.027375201288200684,242.0,0.7565591397849462,319.8692434657783,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-21,SKU_1,WH_1,SUP_8,East,25.0,596.0,14.0,379,0.0,13.95,20.48,0,0,19.95,2024,1,21,6,1,22.696774193548386,0.041946308724761835,217.0,0.7565591397849462,286.82490013253675,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-22,SKU_1,WH_1,SUP_8,South,28.0,568.0,14.0,379,0.0,13.95,20.48,0,0,30.39,2024,1,22,0,0,22.696774193548386,0.049295774647800536,189.0,0.7565591397849462,249.81523559930622,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-23,SKU_1,WH_1,SUP_8,West,20.0,548.0,14.0,379,0.0,13.95,20.48,0,0,21.0,2024,1,23,1,0,22.696774193548386,0.03649635036489691,169.0,0.7565591397849462,223.37976093271297,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-24,SKU_1,WH_1,SUP_8,West,24.0,524.0,14.0,379,0.0,13.95,20.48,0,0,23.1,2024,1,24,2,0,22.696774193548386,0.04580152671746984,145.0,0.7565591397849462,191.65719133280106,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-25,SKU_1,WH_1,SUP_8,East,20.0,504.0,14.0,379,0.0,13.95,20.48,0,0,21.27,2024,1,25,3,0,22.696774193548386,0.039682539682460945,125.0,0.7565591397849462,165.2217166662078,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-26,SKU_1,WH_1,SUP_8,West,20.0,484.0,14.0,379,0.0,13.95,20.48,0,0,22.23,2024,1,26,4,0,22.696774193548386,0.0413223140495014,105.0,0.7565591397849462,138.78624199961456,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-27,SKU_1,WH_1,SUP_8,South,28.0,456.0,14.0,379,0.0,13.95,20.48,0,0,29.08,2024,1,27,5,1,22.696774193548386,0.06140350877179517,77.0,0.7565591397849462,101.77657746638401,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-28,SKU_1,WH_1,SUP_8,West,29.0,427.0,14.0,379,0.0,13.95,20.48,0,0,29.99,2024,1,28,6,1,22.696774193548386,0.06791569086635149,48.0,0.7565591397849462,63.4451391998238,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-29,SKU_1,WH_1,SUP_8,West,20.0,398.0,14.0,379,0.0,13.95,20.48,0,0,28.37,2024,1,29,0,0,22.696774193548386,0.05025125628128078,19.0,0.7565591397849462,25.113700933263587,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-30,SKU_1,WH_1,SUP_8,North,23.0,375.0,14.0,379,0.0,13.95,20.48,0,0,25.02,2024,1,30,1,0,22.696774193548386,0.06133333333316978,-4.0,0.7565591397849462,-5.2870949333186505,1,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-01-31,SKU_1,WH_1,SUP_8,West,18.0,754.0,14.0,379,397.0,13.95,20.48,0,0,14.94,2024,1,31,2,0,22.696774193548386,0.023872679045061178,375.0,0.7565591397849462,495.66514999862346,0,11.338345202442218,18.708269584029658,10.591827956989246,29.300097541018904,-349.6999024589811
2024-02-01,SKU_1,WH_1,SUP_8,South,34.0,720.0,14.0,379,0.0,13.95,20.48,0,0,33.54,2024,2,1,3,0,26.479166666666668,0.047222222222156635,341.0,0.882638888888889,386.3414629769223,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-02,SKU_1,WH_1,SUP_8,West,20.0,466.0,14.0,379,0.0,12.74,19.92,0,0,20.15,2024,2,2,4,0,26.479166666666668,0.04291845493553022,87.0,0.882638888888889,98.56805653663415,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-03,SKU_1,WH_1,SUP_8,South,22.0,674.0,14.0,379,0.0,13.95,20.48,0,0,21.56,2024,2,3,5,1,26.479166666666668,0.03264094955484771,295.0,0.882638888888889,334.2250192908859,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-04,SKU_1,WH_1,SUP_8,North,32.0,642.0,14.0,379,0.0,13.95,20.48,1,0,26.98,2024,2,4,6,1,26.479166666666668,0.04984423676004697,263.0,0.882638888888889,297.9701019440779,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-05,SKU_1,WH_1,SUP_8,East,25.0,617.0,14.0,379,0.0,13.95,20.48,0,0,26.03,2024,2,5,0,0,26.479166666666668,0.04051863857367825,238.0,0.882638888888889,269.6459477668842,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-06,SKU_1,WH_1,SUP_8,North,24.0,593.0,14.0,379,0.0,13.95,20.48,0,0,24.9,2024,2,6,1,0,26.479166666666668,0.0404721753793584,214.0,0.882638888888889,242.45475975677823,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-07,SKU_1,WH_1,SUP_8,East,35.0,558.0,14.0,379,0.0,13.95,20.48,0,0,29.18,2024,2,7,2,0,26.479166666666668,0.06272401433680516,179.0,0.882638888888889,202.800943908707,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-08,SKU_1,WH_1,SUP_8,East,22.0,536.0,14.0,379,0.0,13.95,20.48,0,0,24.32,2024,2,8,3,0,26.479166666666668,0.04104477611932641,157.0,0.882638888888889,177.87568823277655,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-09,SKU_1,WH_1,SUP_8,South,28.0,508.0,14.0,379,0.0,13.95,20.48,0,0,27.93,2024,2,9,4,0,26.479166666666668,0.055118110236111975,129.0,0.882638888888889,146.15263555431957,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-10,SKU_1,WH_1,SUP_8,North,21.0,487.0,14.0,379,0.0,13.95,20.48,0,0,19.3,2024,2,10,5,1,26.479166666666668,0.04312114989724205,108.0,0.882638888888889,122.36034604547686,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-11,SKU_1,WH_1,SUP_8,South,21.0,466.0,14.0,379,0.0,13.95,20.48,0,0,18.95,2024,2,11,6,1,26.479166666666668,0.04506437768230673,87.0,0.882638888888889,98.56805653663415,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-12,SKU_1,WH_1,SUP_8,West,29.0,437.0,14.0,379,0.0,13.95,20.48,0,0,25.33,2024,2,12,0,0,26.479166666666668,0.06636155606392137,58.0,0.882638888888889,65.71203769108942,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-13,SKU_1,WH_1,SUP_8,West,37.0,400.0,14.0,379,0.0,13.95,20.48,1,0,29.59,2024,2,13,1,0,26.479166666666668,0.09249999999976875,21.0,0.882638888888889,23.792289508842725,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
