Date,SKU_ID,Warehouse_ID,Supplier_ID,Region,Units_Sold,Inventory_Level,Supplier_Lead_Time_Days,Reorder_Point,Order_Quantity,Unit_Cost,Unit_Price,Promotion_Flag,Stockout_Flag,Demand_Forecast
2024-01-01,SKU_1,WH_1,SUP_8,West,10.0,592.0,14.0,379,0,13.95,20.48,0,0,8.52
2024-01-02,SKU_1,WH_1,SUP_8,West,17.0,575.0,14.0,379,0,13.95,20.48,0,0,N/A
2024-01-03,SKU_1,WH_1,SUP_8,North,35.0,540.0,14.0,379,0,13.95,20.48,1,0,39.62
2024-01-04,SKU_1,WH_1,SUP_8,South,24.0,516.0,14.0,379,0,13.95,20.48,0,0,19.43
2024-01-05,SKU_1,WH_1,SUP_8,West,21.0,495.0,14.0,379,0,13.95,20.48,0,0,18.7
2024-01-06,SKU_1,WH_1,SUP_8,East,18.0,477.0,14.0,379,0,13.95,20.48,0,0,18.33
2024-01-07,SKU_1,WH_1,SUP_8,North,19.0,458.0,14.0,379,0,13.95,20.48,0,0,18.91
2024-01-08,SKU_1,WH_1,SUP_8,North,23.0,435.0,14.0,379,0,13.95,20.48,1,0,25.84
2024-01-09,SKU_1,WH_1,SUP_8,West,25.0,410.0,14.0,379,0,13.95,20.48,0,0,21.7
2024-01-10,SKU_1,WH_1,SUP_8,South,25.0,385.0,14.0,379,0,13.95,20.48,0,0,N/A
2024-01-11,SKU_1,WH_1,SUP_8,North,23.0,362.0,14.0,379,0,13.95,20.48,0,0,18.82
2024-01-12,SKU_1,WH_1,SUP_8,West,29.0,803.0,14.0,379,470,13.95,20.48,1,0,31.65
2024-01-13,SKU_1,WH_1,SUP_8,North,25.0,778.0,14.0,379,0,13.95,20.48,0,0,25.08
2024-01-14,SKU_1,WH_1,SUP_8,South,26.0,752.0,14.0,379,0,13.95,20.48,0,0,24.39
2024-01-15,SKU_1,WH_1,SUP_8,North,19.0,733.0,14.0,379,0,13.95,20.48,1,0,
2024-01-16,SKU_1,WH_1,SUP_8,West,19.0,714.0,14.0,379,0,13.95,20.48,0,0,20.84
2024-01-17,SKU_1,WH_1,SUP_8,East,26.0,688.0,14.0,379,0,13.95,20.48,0,0,N/A
2024-01-18,SKU_1,WH_1,SUP_8,North,22.0,666.0,14.0,379,0,13.95,20.48,0,0,20.13
2024-01-19,SKU_1,WH_1,SUP_8,North,28.0,638.0,14.0,379,0,13.95,20.48,1,0,31.49
2024-01-20,SKU_1,WH_1,SUP_8,East,17.0,621.0,14.0,379,0,13.95,20.48,0,0,N/A
2024-01-21,SKU_1,WH_1,SUP_8,East,25.0,596.0,14.0,379,0,13.95,20.48,0,0,19.95
2024-01-22,SKU_1,WH_1,SUP_8,South,28.0,568.0,14.0,379,0,13.95,20.48,0,0,30.39
2024-01-23,SKU_1,WH_1,SUP_8,West,20.0,548.0,14.0,379,0,13.95,20.48,0,0,21.0
2024-01-24,SKU_1,WH_1,SUP_8,West,24.0,524.0,14.0,379,0,13.95,20.48,0,0,23.1
2024-01-25,SKU_1,WH_1,SUP_8,East,20.0,504.0,14.0,379,0,13.95,20.48,0,0,21.27
2024-01-26,SKU_1,WH_1,SUP_8,West,,484.0,14.0,379,0,13.95,20.48,0,0,22.23
2024-01-27,SKU_1,WH_1,SUP_8,South,28.0,456.0,14.0,379,0,13.95,20.48,0,0,29.08
2024-01-28,SKU_1,WH_1,SUP_8,West,29.0,427.0,14.0,379,0,13.95,20.48,0,0,29.99
2024-01-29,SKU_1,WH_1,SUP_8,West,missing,398.0,14.0,379,0,13.95,20.48,0,0,28.37
2024-01-30,SKU_1,WH_1,SUP_8,North,23.0,375.0,14.0,379,0,13.95,20.48,0,0,25.02
2024-01-31,SKU_1,WH_1,SUP_8,West,18.0,754.0,14.0,379,397,13.95,20.48,0,0,14.94
2024-02-01,SKU_1,WH_1,SUP_8,South,34.0,720.0,14.0,379,0,13.95,20.48,0,0,33.54
